Date,Governorate,Cases,Deaths,CFR (%),Attack Rate (per 1000),COD Gov Pcode
2017-11-26,Amran,94581,174,0.18,81.49600000000001,29
2017-11-26,Al Mahwit,56447,148,0.26,77.303,27
2017-11-26,Al Dhale'e,47004,81,0.17,64.257,30
2017-11-26,Abyan,28103,35,0.12,49.232,12
2017-11-26,Sana'a,68453,122,0.18,46.556000000000004,23
2017-11-26,Hajjah,106933,417,0.39,45.898999999999994,17
2017-11-26,Dhamar,90560,160,0.18,45.004,20
2017-11-26,Al Hudaydah,139145,271,0.19,42.97,18
2017-11-26,Al Bayda,26793,33,0.12,35.282,14
2017-11-26,Amanat Al Asimah,91799,70,0.08,32.463,13
2017-11-26,Al Jawf,14689,22,0.15,25.388,16
2017-11-26,Raymah,14497,117,0.81,23.892,31
2017-11-26,Lahj,22596,21,0.09,22.397,25
2017-11-26,Aden,20286,62,0.31,21.978,24
2017-11-26,Ibb,59932,284,0.47,20.267,11
2017-11-26,Taizz,58223,184,0.32,19.419,15
2017-11-26,Marib,6897,7,0.1,19.236,26
2017-11-26,Sa'ada,9722,5,0.05,10.741,22
2017-11-26,Al Maharah,1167,1,0.09,7.86,28
2017-11-26,Shabwah,1396,3,0.21,2.31,21
2017-11-26,Moklla,568,2,0.35,1.4169999999999998,19
2017-11-26,Say'on,19,0,0.0,0.086,19
2017-11-19,Amran,93041,174,0.19,80.169,29
2017-11-19,Al Mahwit,55551,148,0.27,76.075,27
2017-11-19,Al Dhale'e,46927,81,0.17,64.152,30
2017-11-19,Abyan,28048,35,0.12,49.135,12
2017-11-19,Sana'a,67611,122,0.18,45.983000000000004,23
2017-11-19,Hajjah,104838,416,0.4,45.0,17
2017-11-19,Dhamar,88515,158,0.18,43.988,20
2017-11-19,Al Hudaydah,136937,270,0.2,42.288000000000004,18
2017-11-19,Al Bayda,26532,32,0.12,34.939,14
2017-11-19,Amanat Al Asimah,90486,69,0.08,31.998,13
2017-11-19,Al Jawf,14344,22,0.15,24.791999999999998,16
2017-11-19,Raymah,14265,116,0.81,23.509,31
2017-11-19,Lahj,22569,21,0.09,22.371,25
2017-11-19,Aden,20171,62,0.31,21.854,24
2017-11-19,Ibb,59074,283,0.48,19.977,11
2017-11-19,Taizz,57367,184,0.32,19.133,15
2017-11-19,Marib,6619,7,0.11,18.461,26
2017-11-19,Sa'ada,9322,5,0.05,10.299000000000001,22
2017-11-19,Al Maharah,1166,1,0.09,7.853,28
2017-11-19,Shabwah,1392,3,0.22,2.3040000000000003,21
2017-11-19,Moklla,568,2,0.35,1.4169999999999998,19
2017-11-19,Say'on,19,0,0.0,0.086,19
2017-11-08,Amran,12745,170,0.19,77.315,29
2017-11-08,Al Mahwit,12745,145,0.27,72.472,27
2017-11-08,Al Dhale'e,12745,81,0.17,63.87,30
2017-11-08,Abyan,12745,35,0.13,48.976000000000006,12
2017-11-08,Sana'a,12745,122,0.18,44.946000000000005,23
2017-11-08,Hajjah,12745,414,0.41,43.288000000000004,17
2017-11-08,Dhamar,12745,157,0.19,42.111999999999995,20
2017-11-08,Al Hudaydah,12745,268,0.2,40.71,18
2017-11-08,Al Bayda,12745,31,0.12,34.113,14
2017-11-08,Amanat Al Asimah,12745,68,0.08,30.97,13
2017-11-08,Al Jawf,12745,22,0.16,23.715999999999998,16
2017-11-08,Raymah,12745,116,0.83,22.913,31
2017-11-08,Lahj,12745,21,0.09,22.326,25
2017-11-08,Aden,12745,62,0.31,21.469,24
2017-11-08,Ibb,12745,282,0.49,19.320999999999998,11
2017-11-08,Taizz,12745,184,0.34,18.151,15
2017-11-08,Marib,12745,7,0.11,17.019000000000002,26
2017-11-08,Sa'ada,12745,5,0.06,9.57,22
2017-11-08,Al Maharah,12745,1,0.09,7.84,28
2017-11-08,Shabwah,12745,3,0.22,2.3,21
2017-11-08,Moklla,568,2,0.35,1.4169999999999998,19
2017-11-08,Say'on,18,0,0.0,0.08199999999999999,19
2017-11-07,Amran,12745,170,0.19,77.041,29
2017-11-07,Al Mahwit,12745,145,0.27,72.277,27
2017-11-07,Al Dhale'e,12745,81,0.17,63.87,30
2017-11-07,Abyan,12745,35,0.13,48.948,12
2017-11-07,Sana'a,12745,122,0.19,44.836000000000006,23
2017-11-07,Hajjah,12745,414,0.41,43.198,17
2017-11-07,Dhamar,12745,157,0.19,41.916000000000004,20
2017-11-07,Al Hudaydah,12745,268,0.2,40.56,18
2017-11-07,Al Bayda,12745,30,0.12,34.048,14
2017-11-07,Amanat Al Asimah,12745,68,0.08,30.869,13
2017-11-07,Al Jawf,12745,22,0.16,23.615,16
2017-11-07,Raymah,12745,116,0.84,22.863000000000003,31
2017-11-07,Lahj,12745,21,0.09,22.322,25
2017-11-07,Aden,12745,62,0.31,21.436999999999998,24
2017-11-07,Ibb,12745,282,0.49,19.297,11
2017-11-07,Taizz,12745,184,0.34,18.016,15
2017-11-07,Marib,12745,7,0.11,17.016,26
2017-11-07,Sa'ada,12745,5,0.06,9.476,22
2017-11-07,Al Maharah,12745,1,0.09,7.84,28
2017-11-07,Shabwah,12745,3,0.22,2.3,21
2017-11-07,Moklla,568,2,0.35,1.4169999999999998,19
2017-11-07,Say'on,18,0,0.0,0.08199999999999999,19
2017-11-06,Amran,12745,170,0.19,76.827,29
2017-11-06,Al Mahwit,12745,145,0.27,72.277,27
2017-11-06,Al Dhale'e,12745,81,0.17,63.813,30
2017-11-06,Abyan,12745,35,0.13,48.93899999999999,12
2017-11-06,Sana'a,12745,122,0.19,44.742,23
2017-11-06,Hajjah,12745,414,0.41,43.055,17
2017-11-06,Dhamar,12745,156,0.19,41.728,20
2017-11-06,Al Hudaydah,12745,268,0.2,40.437,18
2017-11-06,Al Bayda,12745,30,0.12,33.993,14
2017-11-06,Amanat Al Asimah,12745,68,0.08,30.788,13
2017-11-06,Al Jawf,12745,22,0.16,23.509,16
2017-11-06,Raymah,12745,116,0.84,22.791,31
2017-11-06,Lahj,12745,21,0.09,22.316,25
2017-11-06,Aden,12745,62,0.31,21.405,24
2017-11-06,Ibb,12745,282,0.5,19.24,11
2017-11-06,Taizz,12745,184,0.34,17.99,15
2017-11-06,Marib,12745,7,0.11,17.002,26
2017-11-06,Sa'ada,12745,5,0.06,9.385,22
2017-11-06,Al Maharah,12745,1,0.09,7.84,28
2017-11-06,Shabwah,12745,3,0.22,2.3,21
2017-11-06,Moklla,568,2,0.35,1.4169999999999998,19
2017-11-06,Say'on,18,0,0.0,0.08199999999999999,19
2017-11-05,Amran,88847,170,0.19,76.555,29
2017-11-05,Al Mahwit,52607,145,0.28,72.044,27
2017-11-05,Al Dhale'e,46634,80,0.17,63.751999999999995,30
2017-11-05,Abyan,27911,35,0.13,48.895,12
2017-11-05,Sana'a,65625,122,0.19,44.632,23
