Date,Governorate,Cases,Deaths,CFR (%),Attack Rate (per 1000),COD Gov Pcode
11/26/17,Amran,94581,174,0.18,81.496,29
11/26/17,Al Mahwit,56447,148,0.26,77.303,27
11/26/17,Al Dhale'e,47004,81,0.17,64.257,30
11/26/17,Abyan,28103,35,0.12,49.232,12
11/26/17,Sana'a,68453,122,0.18,46.556,23
11/26/17,Hajjah,106933,417,0.39,45.899,17
11/26/17,Dhamar,90560,160,0.18,45.004,20
11/26/17,Al Hudaydah,139145,271,0.19,42.97,18
11/26/17,Al Bayda,26793,33,0.12,35.282,14
11/26/17,Amanat Al Asimah,91799,70,0.08,32.463,13
11/26/17,Al Jawf,14689,22,0.15,25.388,16
11/26/17,Raymah,14497,117,0.81,23.892,31
11/26/17,Lahj,22596,21,0.09,22.397,25
11/26/17,Aden,20286,62,0.31,21.978,24
11/26/17,Ibb,59932,284,0.47,20.267,11
11/26/17,Taizz,58223,184,0.32,19.419,15
11/26/17,Marib,6897,7,0.1,19.236,26
11/26/17,Sa'ada,9722,5,0.05,10.741,22
11/26/17,Al Maharah,1167,1,0.09,7.86,28
11/26/17,Shabwah,1396,3,0.21,2.31,21
11/26/17,Moklla,568,2,0.35,1.417,#N/A
11/26/17,Say'on,19,0,0,0.086,#N/A
11/19/17,Amran,93041,174,0.19,80.169,29
11/19/17,Al Mahwit,55551,148,0.27,76.075,27
11/19/17,Al Dhale'e,46927,81,0.17,64.152,30
11/19/17,Abyan,28048,35,0.12,49.135,12
11/19/17,Sana'a,67611,122,0.18,45.983,23
11/19/17,Hajjah,104838,416,0.4,45,17
11/19/17,Dhamar,88515,158,0.18,43.988,20
11/19/17,Al Hudaydah,136937,270,0.2,42.288,18
11/19/17,Al Bayda,26532,32,0.12,34.939,14
11/19/17,Amanat Al Asimah,90486,69,0.08,31.998,13
11/19/17,Al Jawf,14344,22,0.15,24.792,16
11/19/17,Raymah,14265,116,0.81,23.509,31
11/19/17,Lahj,22569,21,0.09,22.371,25
11/19/17,Aden,20171,62,0.31,21.854,24
11/19/17,Ibb,59074,283,0.48,19.977,11
11/19/17,Taizz,57367,184,0.32,19.133,15
11/19/17,Marib,6619,7,0.11,18.461,26
11/19/17,Sa'ada,9322,5,0.05,10.299,22
11/19/17,Al Maharah,1166,1,0.09,7.853,28
11/19/17,Shabwah,1392,3,0.22,2.304,21
11/19/17,Moklla,568,2,0.35,1.417,#N/A
11/19/17,Say'on,19,0,0,0.086,#N/A
11/8/17,Amran,"89,729",170,0.19,77.315,29
11/8/17,Al Mahwit,"52,920",145,0.27,72.472,27
11/8/17,Al Dhale'e,"46,721",81,0.17,63.87,30
11/8/17,Abyan,"27,957",35,0.13,48.976,12
11/8/17,Sana'a,"66,086",122,0.18,44.946,23
11/8/17,Hajjah,"100,850",414,0.41,43.288,17
11/8/17,Dhamar,"84,741",157,0.19,42.112,20
11/8/17,Al Hudaydah,"131,827",268,0.2,40.71,18
11/8/17,Al Bayda,"25,905",31,0.12,34.113,14
11/8/17,Amanat Al Asimah,"87,578",68,0.08,30.97,13
11/8/17,Al Jawf,"13,722",22,0.16,23.716,16
11/8/17,Raymah,"13,903",116,0.83,22.913,31
11/8/17,Lahj,"22,524",21,0.09,22.326,25
11/8/17,Aden,"19,816",62,0.31,21.469,24
11/8/17,Ibb,"57,136",282,0.49,19.321,11
11/8/17,Taizz,"54,422",184,0.34,18.151,15
11/8/17,Marib,"6,102",7,0.11,17.019,26
11/8/17,Sa'ada,"8,662",5,0.06,9.57,22
11/8/17,Al Maharah,"1,164",1,0.09,7.84,28
11/8/17,Shabwah,"1,390",3,0.22,2.3,21
